start_time,range_min,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2017-05-15/22:25:00,20,2017-05-15/22:37:41,"[3.,4.,5.,6.,7.]",kuma,"[0.00027869147852899927, 0.0005865891262814288]",10,D,1
2017-05-26/07:25:00,20,2017-05-26/07:30:44,"[8.,10.,12.,14.,16.]",kuma,"[0.0005548292959752806, -0.0013075375454726203]",7,D,1
2017-05-26/07:25:00,,2017-05-26/07:34:03,"[8.,10.,12.,14.]",kuma,"[0.0005548292959752806, -0.0013075375454726203]",2,D,1
2017-05-26/07:25:00,,2017-05-26/07:35:48,"[8.,10.,12.,14.]",kuma,"[0.0005548292959752806, -0.0013075375454726203]",9,D,1
2017-05-26/07:25:00,,2017-05-26/07:40:12,"[6.,8.,10.,12.,14.]",kuma,"[0.0005548292959752806, -0.0013075375454726203]",3,D,1
2017-05-30/15:25:00,20,2017-05-30/15:36:22,"[5.,6.,7.,8.,9.]",kuma,"[0.00013625921018883117, 0.0009291982997271811]",1,D,1
2017-05-30/15:25:00,,2017-05-30/15:39:34,"[5.,6.,7.,8.,9.]",kuma,"[0.00013625921018883117, 0.0009291982997271811]",1,D,1
2017-05-30/15:25:00,,2017-05-30/15:41:31,"[5.,6.,7.,8.,9.]",kuma,"[0.00013625921018883117, 0.0009291982997271811]",1,D,1
2017-05-30/15:45:00,20,2017-05-30/15:54:53,"[4.,5.,6.,7.,8.]",kuma,"[0.0003212277118179267, 0.00013250311640160728]",3,D,1
2017-06-18/13:50:00,20,,,kuma,,,,
2017-06-20/04:00:00,20,,,kuma,,,,
2017-07-03/04:05:00,20,2017-07-03/04:09:46,"[8.,10.,12.,14.,16.,18.]",kuma,"[0.00031016927862050547, -0.0007316282600779312]",3,D,1
2017-07-03/04:05:00,,2017-07-03/04:11:43,"[10.,12.,14.,16.]",kuma,"[0.00031016927862050547, -0.0007316282600779312]",3,D,1
2017-07-03/04:05:00,,2017-07-03/04:13:16,"[8.,10.,12.,14.,16.]",kuma,"[0.00031016927862050547, -0.0007316282600779312]",2,D,1
2017-07-03/04:05:00,,2017-07-03/04:14:04,"[6.,8.,10.,12.,14.]",kuma,"[0.00031016927862050547, -0.0007316282600779312]",2,D,1
2017-07-03/04:05:00,,2017-07-03/04:16:39,"[8.,10.,12.,14.]",kuma,"[0.00031016927862050547, -0.0007316282600779312]",2,D,1
2017-07-03/04:25:00,20,2017-07-03/04:27:14,"[5.,7.,9.,11.]",kuma,"[0.0002753873865639427, -2.069217638500817e-05]",2,D,1
2017-07-03/04:25:00,,2017-07-03/04:28:07,"[5.,7.,9.,11.]",kuma,"[0.0002753873865639427, -2.069217638500817e-05]",0,D,1
2017-07-03/04:25:00,,2017-07-03/04:32:46,"[4.,6.,8.,10.]",kuma,"[0.0002753873865639427, -2.069217638500817e-05]",1,D,1
2017-07-26/20:15:00,20,2017-07-26/20:19:12,"[3.,4.,5.,6.,7.]",kuma,"[0.00021827477673731413, -2.3767939392336777e-05]",2,D,1
2017-07-26/20:15:00,,2017-07-26/20:21:05,"[3.,4.,5.,6.,7.]",kuma,"[0.00021827477673731413, -2.3767939392336777e-05]",4,D,1
2017-07-26/20:15:00,,2017-07-26/20:24:09,"[3.,4.,5.,6.,7.]",kuma,"[0.00021827477673731413, -2.3767939392336777e-05]",4,D,1
2017-07-26/20:15:00,,2017-07-26/20:27:19,"[2.,3.,4.,5.,6.]",kuma,"[0.00021827477673731413, -2.3767939392336777e-05]",6,D,1
2017-07-26/20:15:00,,2017-07-26/20:29:39,"[2.,3.,4.,5.,6.]",kuma,"[0.00021827477673731413, -2.3767939392336777e-05]",5,D,1
2018-04-05/10:33:00,20,,,kuma,,,,
2018-04-20/01:15:00,20,,,kuma,,,,
2018-05-26/10:35:00,20,,,kuma,,,,
